,special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes,source
,,007.HowDoYouWorkThisThing,2009-04-18,12,2009-04-07,14,,,,,,X,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,13,2009-04-07,15,Do Something,Smoking Popes,,,From the East Timor Compilation,,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,14,2009-04-07,16,Rabbi Steinman's Happy Hour Frito Boats,Creedle,,,One of my preferred extra-obscure San Diego bands,,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,15,2009-04-07,17,Vertigo,Anya Marina,,,Also from San Diego,,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,16,2009-04-07,18,Stars For Anyone,The Boneless Children Foundation,,,Still one of my favorite band names,,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,17,2009-04-07,19,,,,,,X,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,18,2009-04-07,20,A Day And The Weight,A-Set,,,Leaves me shaky and unsteady,,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,19,2009-04-07,21,Little M,Flat Duo Jets,,,I love these guys,,,,wfit
,,007.HowDoYouWorkThisThing,2009-04-18,20,2009-04-07,22,Frank,Those Peabodys,,,A relentless clock,,,,wfit
,,,,,2009-04-07,23,,,,,,X,,,wfit
,,008.The 59,2009-04-21,01,2009-04-07,24,The 59,1990s,,,Featuring members of Yummy Fur,,,,wfit
,,008.The 59,2009-04-21,02,2009-04-07,25,Swing 48,The Cook Trio,,,Quite the hip outfit,,,,wfit
,,008.The 59,2009-04-21,03,2009-04-07,26,A Million Miles Away,The Plimsouls,,,Remember Valley Girl,,,,wfit
,,008.The 59,2009-04-21,04,2009-04-07,27,,,,,,X,,,wfit
,,008.The 59,2009-04-21,05,2009-04-07,28,Happiness Is All The Rage,The Promise Ring,,,Emo before emo was emo,,,,wfit
,,008.The 59,2009-04-21,06,2009-04-07,29,Business,Pluxus,,,"mmmm, Swedish moog",,,,wfit
,,008.The 59,2009-04-21,07,2009-04-07,30,Modern Age,Get Set Go,,,Dark lyrics on this one,,,,wfit
