special,podcast,podcast_airdate,podcast_sequence,radio_airdate,radio_sequence,song,artist,album,time,notes,break,asin,itunes
,,,,2008-10-07,17,Slow Train Coming,Low Frequency In Stereo,,,the theme?,,,
,,,,2008-10-07,18,BREAK,,,,BREAK,X,,
,,,,2008-10-07,19,You,Rikters,,,Sharp and snappy,,,
,,,,2008-10-07,20,Rhum + Coca Cola,Fate,,,Working for the yankee dollah,,,
,,,,2008-10-07,21,Vince the Lovable Stoner,The Fratellis,,,We all know a Vince.,,,
,,,,2008-10-07,22,Hot Tonite,His Name Is Alive,,,,,,
,,,,2008-10-07,23,BREAK,,,,BREAK,X,,
,,,,2008-10-07,24,Deja Vu,SSM,,,Not SMM!,,,
,,,,2008-10-07,25,McQueen Bear,David Bernabo,,,Angular lounge,,,
,,,,2008-10-07,26,Tiny Bongs,The Moore Brothers,,,"Out to Marc D! No I Got Cash, sorry",,,
,,,,2008-10-07,27,BREAK,,,,BREAK,X,,
,,,,2008-10-07,28,Fool’s Paradise,United Future Organization,,,"Japan says, “you will sing the singing of singers!”",,,
,,,,2008-10-07,29,"Run Away, The Sequel",Darlin’ New Neighbors,,,Lo fi and lovely,,,
,,,,2008-10-07,30,The Lake,Supersystem,,,"Sounds like pinback, doesn’t it?",,,
,,,,2008-10-07,31,BREAK,,,,BREAK,X,,
,,,,2008-10-07,32,Rock Steady,Venice Shoreline Chris,,,Also from Canadia!,,,
,,,,2008-10-07,33,Life In A Bubble,The Toasters,,,"Classic NYC Ska, back with a vengeance",,,
,,,,2008-10-07,34,Talk of the Town,Mohair,,,"Brits, love that vocal bridge - Supertramp!",,,
,,,,2008-10-07,35,BREAK,,,,BREAK,X,,
,,,,2008-10-07,36,The Nice One,The Wellingtons,,,Need more info...,,,
,,,,2008-10-07,37,Long Tall Shorty,The Four Corners,,,Stereo Version,,,
,,,,2008-10-07,38,BREAK,,,,BREAK,X,,
,,,,2008-10-07,39,Earth People,Dr. Octagon,,,For Frank W.,,,
,,,,2008-10-14,00,Playlist for 2008-10-14,,,,,X,,
,,,,2008-10-14,01,Ghost In The Trees,Thee Oh Sees,,,Thanks to Iceberg Defect!,,,
,,,,2008-10-14,02,BREAK,,,,BREAK,X,,
,,,,2008-10-14,03,Tighten My Tie,The Like Young,,,Sharp and short,,,
,,,,2008-10-14,04,Me + Armini,Emiliana Torrini,,,"Excellent album, same title",,,
,,,,2008-10-14,05,Devil You Know,Pinback,,,Autumn of the Seraphs - Death Metal Cruise,,,
,,,,2008-10-14,06,BREAK,,,,BREAK,X,,
,,,,2008-10-14,07,Road Hog,The Coctails,,,"Later, Tortoise, the Sea + Cake",,,
,,,,2008-10-14,08,All or Nothing,Derby,,,,,,
,,,,2008-10-14,09,Had,Portastatic,,,Mac from Superchunk,,,
,,,,2008-10-14,10,BREAK,,,,BREAK,X,,
,,,,2008-10-14,11,Sexy,Los Amigos Invisibles,,,Super-sexy!,,,
,,,,2008-10-14,12,Trendsetter,Tiny Masters of Today,,,5318008! Flip it upside down when you calculate!,,,
,,,,2008-10-14,13,The Hunt (Part 2),Monsieur LeRoc ,,,,,,
,,,,2008-10-14,14,BREAK,,,,BREAK,X,,
,,,,2008-10-14,15,Fly,Cornelius,,,"Japan says, “the buzzing of sound is music”",,,
,,,,2008-10-14,16,54-46 Was My Number,Toots + The Maytalls,,,Couldn’t resist.,,,
,,,,2008-10-14,17,Waterbed,Drink Me,,,"Love that voice, like My Morning Jacket",,,
,,,,2008-10-14,18,BREAK,,,,BREAK,X,,
,,,,2008-10-14,19,Everybody’s Trying To Be My Villain,Golden Shoulders ,,,Dedicated to Dr. Orpheus,,,
,,,,2008-10-14,20,In The Summer,Fastbacks,,,Kurt Bloch!,,,
,,,,2008-10-14,21,Genius of Love,Tom Tom Club,,,,,,
,,,,2008-10-14,22,BREAK,,,,BREAK,X,,
,,,,2008-10-14,23,Why Are You Asking Me?,Analog vs. Digital,,,Dr. Zoltan!,,,
,,,,2008-10-14,24,BREAK,,,,BREAK,X,,
,,,,2008-10-14,25,For You (Part II),Locksley,,,Utterly charming,,,
,,,,2008-10-14,26,Happy Torso Bloody Torso,We Wrote The Book on Connectors,,,,,,
,,,,2008-10-14,27,Great DJ,The Ting Tings,,,,,,
,,,,2008-10-14,28,Frank,Ween,,,By request,,,
,,,,2008-10-14,29,BREAK,,,,BREAK,X,,
,,,,2008-10-14,30,Faith,Sheperdess,,,,,,
,,,,2008-10-14,31,Music for a Found Harmonium,Penguin Cafe Orchestra,,,On Napeolon Dynamite soundtrack,,,
,,,,2008-10-14,32,Rhythm + Light,The Aggrolites,,,Reggae Hit LA!,,,
,,,,2008-10-14,33,BREAK,,,,BREAK,X,,
,,,,2008-10-14,34,Golden Brown,The Stranglers,,,"Trite, but c’mon -- STRANGLERS.",,,
,,,,2008-10-14,35,World Full of Cops,Paleface,,,AC/DC What time is it?,,,
,,,,2008-10-14,36,Dead End Street,Tenniscourts,,,Alloneword,,,
,,,,2008-10-14,37,BREAK,,,,BREAK,X,,
,,,,2008-10-14,38,Tools,Flour,,,Chicago belt sander rock,,,
,,,,2008-10-14,39,Upper Ferry,Flin Flon,,,Mark Robinson of Unrest + Teen Beat,,,
,,,,2008-10-14,40,Rex’s Blues,Entrance,,,Hobo music is heartwrenching,,,
,,,,2008-10-14,41,Nova (Pt. 1),Tracker,,,The sound of a spy lost in the desert.,,,
,,,,2008-10-14,42,BREAK,,,,BREAK,X,,
,,,,2008-10-14,43,Imaginary World,Ashtech,,,Damn good dub.,,,
,,,,2008-10-21,00,Playlist for 2008-10-21,,,,,X,,
,,,,2008-10-21,01,Mission Impossible,Lailka and the Cosmonauts,,,Awesomes 5/4 from 5inland!,,,
,,,,2008-10-21,02,BREAK,,,,BREAK,X,,
,,,,2008-10-21,03,Reconcile,Aggrolites,,,,,,
,,,,2008-10-21,04,Don’t Ever Do That Again,Golden Shoulders,,,Oh so good.,,,
,,,,2008-10-21,05,Let Me Find The Good In You,Kiss-Offs,,,Sucker for the organ. Wait.,,,
,,,,2008-10-21,06,BREAK,,,,BREAK,X,,
,,,,2008-10-21,07,"Perhaps, Perhaps, Perhaps",Cake,,,"Oldie from their first album, Motorcade of Generosity",,,
,,,,2008-10-21,08,Tied,Tribe,,,Boston band... hello 1990s.,,,
,,,,2008-10-21,09,Just Like Betty Page,The Jazz Butcher,,,Going out to my faithful listener,,,
,,,,2008-10-21,10,BREAK,,,,BREAK,X,,
,,,,2008-10-21,11,Seen The Light,Supergrass,,,"So snotty, so Cockney",,,
,,,,2008-10-21,12,Baby’s Way Cruel,Guv’ner,,,Snarl and twang,,,
,,,,2008-10-21,13,Block of Ice,Thee Oh Sees,,,"Again, muchas gracias to Iceberg Defect",,,
,,,,2008-10-21,14,BREAK,,,,BREAK,X,,
,,,,2008-10-21,15,Bang Bang To The Rock And Roll,Gabin,,,Break out the dance moves,,,
,,,,2008-10-21,16,Match Made In Hell,The Wagon,,,WTF is up with this song?,,,
,,,,2008-10-21,17,Math,Supernova,,,"You know, I just came from math class.",,,
,,,,2008-10-21,18,BREAK,,,,BREAK,X,,
,,,,2008-10-21,19,Gas Gas,Goran Bregovic,,,From the awesome Balkan Beats 3,,,
,,,,2008-10-21,20,The Lark,Kalman Balogh,,,More Balkan music!,,,
,,,,2008-10-21,21,Honky Tonk Bound,The Lucky Stars,,,Cracks me up every time,,,
,,,,2008-10-21,22,BREAK,,,,BREAK,X,,
,,,,2008-10-21,23,Why Are You Asking Me?,Lunch Violation,,,Dr. Zoltan!,,,
,,,,2008-10-21,24,BREAK,,,,BREAK,X,,
,,,,2008-10-21,25,For The Girl,The Fratellis,,,"Playing them a lot, huh?",,,
,,,,2008-10-21,26,St. Andrews,Bedouin Soundclash,,,"Reminiscent of the Proclaimers, isn’t it?",,,
,,,,2008-10-21,27,Shinda Shima,Mellow,,,,,,
,,,,2008-10-21,28,BREAK,,,,BREAK,X,,
,,,,2008-10-21,29,Bits and Pieces,The Toasters,,,Back and forth again,,,
,,,,2008-10-21,30,Sadagora Hot Dub,Amsterdam Klezmer All Stars,,,Can’t stops the klezmers!,,,
,,,,2008-10-21,31,Girls In Magazines,The Wellingtons,,,Too short,,,
,,,,2008-10-21,32,Beautiful + Hard,No-Fi Soul Rebellion,,,From Montana?,,,
,,,,2008-10-21,33,BREAK,,,,BREAK,X,,
,,,,2008-10-21,34,Way Gone Man,The Anubian Lights ,,,Hello 80s!,,,
,,,,2008-10-21,35,St. Tropez,Smooth Citizen,,,"Very smooth, citizen",,,
,,,,2008-10-21,36,Shamemaker,Ween,,,From “La Cucaracha”,,,
,,,,2008-10-21,37,BREAK,,,,BREAK,X,,
